user_id,order_number,product_id,add_to_cart_order
1,11,0,1
1,11,8,2
1,11,16,3
1,11,4,4
1,11,15,5
1,11,5,6
1,11,7,7
1,11,3,8
1,11,18,9
1,11,14,10
1,11,13,11
2,15,74,1
2,15,114,2
2,15,25,3
2,15,19,4
2,15,12,5
2,15,109,6
2,15,115,7
2,15,44,8
2,15,30,9
2,15,116,10
2,15,82,11
2,15,117,12
2,15,118,14
2,15,119,16
2,15,87,17
2,15,47,18
2,15,120,19
2,15,121,20
2,15,88,21
2,15,122,22
2,15,123,23
2,15,124,24
2,15,125,25
2,15,126,26
2,15,127,27
2,15,128,28
2,15,129,29
2,15,130,30
2,15,131,31
3,12,134,1
3,12,158,2
3,12,144,3
3,12,135,4
3,12,20,5
3,12,137,6
4,5,171,1
4,5,172,2
4,5,173,3
5,5,174,1
5,5,107,2
5,5,195,3
5,5,175,4
5,5,196,5
5,5,197,6
5,5,198,7
5,5,192,8
5,5,186,9
6,3,207,1
6,3,208,2
6,3,209,3
7,21,264,1
7,21,238,2
7,21,216,3
7,21,227,4
7,21,229,5
7,21,223,6
7,21,222,7
7,21,261,8
7,21,30,9
8,4,292,1
8,4,295,2
8,4,296,3
8,4,279,4
8,4,297,5
8,4,298,6
8,4,299,7
8,4,300,8
8,4,301,9
8,4,302,10
8,4,303,11
8,4,20,12
8,4,180,13
8,4,135,14
8,4,208,15
8,4,291,16
8,4,304,18
9,4,348,1
9,4,346,2
9,4,335,3
9,4,328,4
9,4,181,5
9,4,334,6
9,4,337,7
9,4,347,8
9,4,330,9
9,4,327,10
9,4,67,11
9,4,69,12
9,4,61,13
9,4,64,14
9,4,331,15
9,4,332,16
9,4,237,17
9,4,336,18
9,4,342,19
9,4,305,20
9,4,344,21
9,4,338,22
10,6,409,1
10,6,410,2
10,6,411,3
11,7,453,1
11,7,454,2
11,7,433,3
11,7,431,4
11,7,455,5
11,7,456,6
11,7,413,7
11,7,457,8
11,7,458,9
11,7,459,10
11,7,274,11
11,7,6,12
11,7,289,13
11,7,460,14
12,5,6,1
12,5,156,2
12,5,489,3
12,5,257,4
12,5,382,5
12,5,490,6
12,5,491,7
12,5,390,8
12,5,492,9
12,5,274,11
12,5,466,12
12,5,463,13
12,5,465,14
12,5,28,15
12,5,145,16
12,5,493,17
12,5,494,18
12,5,495,19
12,5,496,20
12,5,195,21
12,5,140,22
13,13,503,1
13,13,501,2
13,13,500,3
13,13,505,5
14,14,535,2
14,14,574,3
14,14,613,4
14,14,605,5
14,14,603,7
14,14,555,9
14,14,523,10
15,22,0,1
15,22,615,2
16,6,634,1
16,6,646,2
16,6,647,3
16,6,648,4
16,6,143,5
16,6,44,6
16,6,520,7
16,6,186,8
16,6,177,9
16,6,649,11
17,41,652,1
17,41,714,2
17,41,706,3
17,41,31,4
17,41,250,5
17,41,715,6
18,7,717,1
18,7,716,2
18,7,143,3
18,7,82,4
18,7,178,5
18,7,722,6
18,7,734,7
18,7,735,8
18,7,736,9
18,7,737,11
19,9,810,1
19,9,771,2
19,9,811,3
19,9,812,4
19,9,813,5
19,9,814,6
19,9,815,7
19,9,816,8
19,9,817,9
19,9,741,10
19,9,818,12
19,9,751,13
19,9,784,14
19,9,116,16
19,9,591,17
19,9,819,18
19,9,820,19
19,9,821,20
19,9,822,21
20,4,828,1
20,4,824,2
20,4,827,3
20,4,823,4
20,4,825,5
20,4,116,6
20,4,826,7
21,34,890,1
21,34,889,2
21,34,441,3
21,34,870,4
21,34,896,5
21,34,897,6
22,15,18,1
22,15,274,2
22,15,74,3
23,5,931,1
23,5,922,2
23,5,857,3
23,5,938,5
23,5,939,6
23,5,940,7
23,5,941,8
23,5,936,9
23,5,935,10
23,5,877,12
24,19,942,1
25,3,964,1
25,3,965,2
25,3,966,3
25,3,967,4
25,3,968,5
25,3,963,6
26,12,971,1
26,12,284,2
26,12,985,3
26,12,986,4
26,12,987,5
26,12,546,6
26,12,988,8
26,12,989,9
26,12,990,10
27,24,416,1
27,24,997,2
27,24,1036,3
27,24,1001,4
27,24,391,5
27,24,623,6
27,24,44,7
27,24,12,8
27,24,340,9
27,24,145,10
27,24,209,11
27,24,731,12
27,24,292,13
27,24,178,14
27,24,279,15
28,19,1038,1
28,19,1064,2
28,19,1055,3
28,19,1039,6
28,19,1049,7
28,19,1079,8
28,19,1054,9
28,19,1037,10
28,19,1075,11
28,19,1041,12
28,19,1078,13
28,19,1072,15
28,19,1048,17
29,9,1083,1
30,20,1177,1
30,20,1211,2
30,20,1212,3
30,20,1213,4
31,5,1237,1
31,5,1228,2
31,5,1219,3
31,5,219,4
31,5,1246,5
31,5,1247,6
31,5,1225,7
31,5,1232,8
31,5,29,9
31,5,1248,10
31,5,1244,11
31,5,143,12
31,5,23,13
31,5,1249,14
31,5,1236,15
31,5,1217,16
31,5,1218,17
31,5,991,18
31,5,762,19
31,5,1191,20
31,5,44,21
31,5,1242,22
32,3,1250,1
32,3,1251,2
32,3,1254,3
32,3,1253,4
32,3,1268,5
32,3,1260,6
32,3,427,7
32,3,1265,8
32,3,1270,9
32,3,1271,10
32,3,1272,11
32,3,1261,12
32,3,1273,13
32,3,192,14
32,3,1274,15
32,3,1275,16
33,6,18,1
33,6,44,2
33,6,1278,3
33,6,1283,4
33,6,501,5
34,9,1327,1
34,9,303,2
34,9,178,3
34,9,1293,5
34,9,1310,6
34,9,1260,7
34,9,1325,8
35,37,1357,2
35,37,1333,4
36,24,186,1
36,24,1405,2
36,24,629,3
36,24,312,4
36,24,354,5
36,24,1289,6
36,24,1366,7
36,24,204,11
36,24,1372,12
37,13,1457,1
37,13,1458,2
37,13,501,3
37,13,289,4
37,13,1408,5
37,13,1407,6
37,13,1459,7
37,13,1406,8
37,13,470,9
37,13,1460,10
37,13,45,11
37,13,1455,12
37,13,1423,13
37,13,1418,14
37,13,233,15
37,13,623,17
37,13,232,18
37,13,877,19
38,7,1468,1
38,7,31,3
38,7,1487,4
38,7,177,5
38,7,198,6
38,7,435,7
38,7,1368,8
38,7,1465,9
38,7,1488,10
38,7,1364,11
38,7,362,12
38,7,1484,13
38,7,194,14
38,7,1489,15
38,7,387,16
38,7,1461,17
38,7,231,18
38,7,1490,19
38,7,1491,20
38,7,209,22
38,7,1020,23
38,7,1322,24
38,7,201,25
38,7,1250,26
38,7,391,27
38,7,1492,28
38,7,1493,29
39,9,453,1
39,9,6,2
39,9,111,3
39,9,1497,4
39,9,1510,5
39,9,1504,6
39,9,1495,7
39,9,1117,8
39,9,152,9
39,9,1503,10
39,9,344,11
39,9,150,12
40,6,1461,1
40,6,362,2
40,6,993,3
40,6,901,4
40,6,157,5
40,6,1530,6
40,6,140,7
40,6,1513,8
40,6,265,9
40,6,399,10
40,6,260,11
40,6,1531,12
40,6,1532,13
40,6,1533,14
40,6,50,15
41,17,1270,2
41,17,1567,3
41,17,211,4
41,17,1499,5
41,17,1564,6
41,17,1565,7
42,12,44,1
42,12,31,2
42,12,1054,3
42,12,1611,4
42,12,1612,5
42,12,1429,6
42,12,1613,7
42,12,1201,8
42,12,1159,9
42,12,1614,10
42,12,1615,11
42,12,1536,12
42,12,1582,14
42,12,179,17
42,12,591,18
42,12,1586,19
42,12,220,20
42,12,1601,21
42,12,30,22
42,12,1574,23
42,12,1571,24
42,12,1572,25
42,12,756,26
42,12,877,27
42,12,1051,28
42,12,751,29
42,12,1587,31
42,12,1602,33
43,4,526,1
43,4,1635,3
43,4,1636,4
43,4,1637,5
44,4,431,2
44,4,1644,4
44,4,1645,5
45,20,44,1
45,20,1646,2
45,20,1665,3
45,20,993,4
45,20,1188,5
45,20,1657,6
46,6,1694,1
46,6,1695,2
46,6,940,4
46,6,777,5
46,6,1240,6
47,11,1725,1
47,11,308,2
47,11,204,3
47,11,363,4
47,11,1717,5
47,11,1726,6
47,11,287,7
47,11,1716,8
47,11,1727,9
47,11,1708,10
47,11,1461,12
47,11,1728,13
48,9,1594,1
48,9,1749,2
48,9,369,3
48,9,1756,6
49,3,1764,1
49,3,1763,2
49,3,1762,3
49,3,141,4
49,3,628,5
49,3,232,6
49,3,901,7
49,3,1767,8
49,3,391,9
49,3,6,10
49,3,259,11
49,3,869,12
50,28,13,1
50,28,1790,2
50,28,1791,3
50,28,31,4
50,28,250,5
50,28,1792,6
50,28,211,7
50,28,1782,8
50,28,9,9
50,28,618,10
50,28,1793,11
51,4,1812,1
51,4,1799,3
51,4,1795,4
51,4,980,7
51,4,1813,8
51,4,1814,9
51,4,1815,10
51,4,1816,11
51,4,1817,12
51,4,1818,13
52,8,1835,1
52,8,20,2
52,8,1821,3
52,8,1822,4
52,8,1819,5
52,8,1837,6
52,8,1470,7
52,8,1841,8
52,8,1828,9
52,8,1842,10
52,8,1407,11
52,8,1843,13
53,13,44,1
53,13,893,2
53,13,135,3
53,13,1861,4
53,13,1866,5
53,13,1223,6
53,13,391,7
53,13,181,8
53,13,1461,9
54,14,293,1
54,14,237,2
54,14,1872,3
54,14,1871,4
54,14,1885,5
56,11,6,1
56,11,1941,2
56,11,1930,3
56,11,143,4
56,11,45,5
56,11,1945,6
56,11,1935,7
56,11,1925,8
56,11,1926,9
56,11,1946,10
56,11,501,11
56,11,1947,12
56,11,262,13
56,11,273,14
56,11,1948,15
56,11,1949,16
56,11,1950,18
56,11,283,19
56,11,365,20
56,11,1246,21
57,8,723,1
57,8,1969,2
57,8,1970,3
57,8,6,4
57,8,1971,5
57,8,117,6
57,8,625,7
57,8,1972,8
58,4,1997,1
58,4,427,2
58,4,240,3
58,4,498,4
58,4,2006,5
58,4,2007,6
58,4,2008,7
58,4,2009,8
58,4,2010,9
58,4,2011,10
58,4,2012,11
58,4,2013,12
58,4,2014,13
58,4,197,14
58,4,394,15
58,4,1018,16
58,4,1676,17
58,4,2015,18
58,4,158,19
58,4,2016,20
58,4,2017,21
58,4,1973,22
59,11,2018,1
59,11,236,2
59,11,178,3
59,11,2030,4
59,11,2019,5
59,11,537,6
59,11,2043,7
59,11,391,8
59,11,645,9
59,11,1125,10
59,11,106,11
59,11,363,12
59,11,718,13
59,11,242,14
59,11,2044,15
59,11,44,16
60,40,2060,1
60,40,257,2
60,40,474,3
60,40,2078,4
60,40,1447,5
60,40,6,6
60,40,72,7
60,40,2096,8
60,40,143,9
60,40,865,10
60,40,2113,11
60,40,2103,12
60,40,208,13
60,40,2124,14
61,11,6,1
61,11,45,2
61,11,246,3
61,11,231,4
61,11,718,5
61,11,385,6
61,11,2151,7
61,11,1455,8
61,11,2035,9
61,11,427,10
61,11,2163,11
61,11,135,12
61,11,2164,13
61,11,2154,14
61,11,2161,15
